"NOTSA	IRAN	Q1	OUTBOUND	10. Jan	32-72	OIII, OIEE	Widebody					"
"		ERZ	TURKEY	UR660, R660	OUTBOUND	10. Feb	Nov 62	LTCE, LTCG	Widebody					"
"		ERH	TURKEY	W73, UW73	OUTBOUND	10. Feb	13-62	LTAC, LTFH	Widebody					"
"		GEM	TURKEY	W73, UW73	OUTBOUND	10. Feb	13-62	LTAC, LTFH	Widebody					"
"		KABAN	TURKEY	UR21, UM860	OUTBOUND	10. Feb	14-62	LTCC	Widebody					"
"		RENGI	TURKEY	UR21, UM860	OUTBOUND	10. Feb	14-62	LTCC	Widebody					"
"		TALIL	TURKEY	UR21, UM860	OUTBOUND	10. Feb	14-62	LTCC	Widebody					"
"		TALIL	TURKEY	UM860	OUTBOUND	10. Feb	15-62	LTCG, LTFH, LTAC	Widebody					"
"		EBEDI	TURKEY	UM860	OUTBOUND	10. Feb	15-62	LTCG, LTFH, LTAC	Widebody					"
"		ODALI	TURKEY	UM860	OUTBOUND	10. Feb	15-62	LTCG, LTFH, LTAC	Widebody					"
"		CRM	TURKEY	UM860	OUTBOUND	10. Feb	15-62	LTCG, LTFH, LTAC	Widebody					"
"		KABAN	TURKEY	UT334	OUTBOUND	10. Feb	16-62	LTCC	Widebody					"
"		ULSAB	TURKEY	UT334	OUTBOUND	10. Feb	16-62	LTCC	Widebody					"
"		NULRU	TURKEY	UT334	OUTBOUND	10. Feb	16-62	LTCC	Widebody					"
"		KONUK	TURKEY	UW88, W88	OUTBOUND	10. Feb	17-62	LTCE, LTCG, LTFH	Widebody					"
"		TBN	TURKEY	UW88, W88	OUTBOUND	10. Feb	17-62	LTCE, LTCG, LTFH	Widebody					"
"		NULRU	TURKEY	UT334	OUTBOUND	10. Feb	18-62	LTCG, LTAC, LTFH	Widebody					"
"		ELNEM	TURKEY	UT334	OUTBOUND	10. Feb	18-62	LTCG, LTAC, LTFH	Widebody					"
"		ASVOD	TURKEY	UT334	OUTBOUND	10. Feb	18-62	LTCG, LTAC, LTFH	Widebody					"
"		ORVOR	TURKEY	UT334	OUTBOUND	10. Feb	18-62	LTCG, LTAC, LTFH	Widebody					"
"		KABAN	TURKEY	UT334, UG8, UL614	OUTBOUND	10. Feb	19-62	LTCC, LTAF	Widebody					"
"		TAMER	TURKEY	UT334, UG8, UL614	OUTBOUND	10. Feb	19-62	LTCC, LTAF	Widebody					"
"		EZS	TURKEY	UT334, UG8, UL614	OUTBOUND	10. Feb	19-62	LTCC, LTAF	Widebody					"
"		DYB	TURKEY	UP975, UW104, W104	OUTBOUND	10. Feb	20-62	LTCC	Widebody					"
"		EZS	TURKEY	UP975, UW104, W104	OUTBOUND	10. Feb	20-62	LTCC	Widebody					"
"		DYB	TURKEY	W73, UW73	OUTBOUND	10. Feb	21-62	LTCC	Widebody					"
"		ERH	TURKEY	W73, UW73	OUTBOUND	10. Feb	21-62	LTCC	Widebody					"
"		GAZ	TURKEY	UB36, UM854	OUTBOUND	10. Feb	22-62	LTAC	Widebody					"
"		GEM	TURKEY	UB36, UM854	OUTBOUND	10. Feb	22-62	LTAC	Widebody					"
"		GAZ	TURKEY	UL602	INBOUND	10. Feb	23-62	LTAF, LTAC	Widebody					"
"		SULAK	TURKEY	UL602	INBOUND	10. Feb	23-62	LTAF, LTAC	Widebody					"
